"task_b_unlikely","task_b_almost_certainly","task_b_probably","task_b_probable","task_b_very_good_chance","task_b_probably_not","task_b_about_even","task_b_we_doubt","task_b_almost_no_chance","task_b_better_than_even","task_b_improbable","task_b_chances_are_slight","task_b_little_chance","task_b_highly_unlikely","task_b_we_believe","task_b_likely","task_b_highly_likely","id"
"","","","","","","","","","","","","","","","","",1
"","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","",3
"20","99","80","70","85","1","50","","1","65","5","15","1","5","70","80","90",4
"","","","","","","","","","","","","","","","","",5
"30","85","60","60","75","15","50","20","10","55","","15","22","20","50","75","85",6
"","","","","","","","","","","","","","","","","",7
"80","97","65","65","85","35","50","40","2","60","95","20","5","95","75","","90",8
"0","100","80","70","90","0","50","30","0","60","10","40","20","","60","60","70",9
"","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","",11
"60","12","23","31","22","25","34","88","79","","67","88","90","89","67","22","22",12
"80","35","42","75","20","89","29","90","86","15","89","85","90","89","","25","40",13
"10","85","65","50","90","35","50","30","5","60","20","","25","20","65","75","80",14
"","","","","","","","","","","","","","","","","",15
"10","85","60","55","","25","50","15","1","55","1","10","15","1","40","60","70",16
"","","","","","","","","","","","","","","","","",17
"","","","","","","","","","","","","","","","","",18
"","","","","","","","","","","","","","","","","",19
"10","90","70","50","80","10","50","20","5","60","10","10","","95","60","60","70",20
"10","95","80","75","80","20","50","5","2","65","10","15","5","30","50","","90",21
"30","","50","30","55","10","50","20","2","55","1","10","5","10","60","60","70",22
"18","89","70","55","75","30","51","25","2","58","1","15","10","5","80","60","",23
"","","","","","","","","","","","","","","","","",24
"5","90","60","65","85","15","50","10","","60","15","20","5","5","70","55","85",25
"10","95","60","80","","20","50","30","5","60","20","20","10","5","60","80","90",26
"","70","65","60","60","20","45","50","30","55","5","60","25","40","70","40","30",27
"5","85","55","50","55","15","45","","2","55","5","10","5","5","50","60","60",28
"","","","","","","","","","","","","","","","","",29
"25","","60","70","60","25","50","15","5","60","20","15","5","10","60","70","75",30
"10","95","60","70","75","30","50","","","51+","0","10","20","15","","80","85",31
"20","60","30","60","60","30","50","5","2","55","10","5","5","5","50","","60",32
"","","","","","","","","","","","","","","","","",33
"10","90","50","","80","5","50","10","2","60","10","30","10","5","70","70","80",34
"30","90","60","70","70","30","50","10","","60","5","5","10","1","70","70","80",35
"","","","","","","","","","","","","","","","","",36
"10","95","60","90","95","5","","30","5","55","80","10","5","5","50","60","95",37
"","","","","","","","","","","","","","","","","",38
"5","90","55","50","60","5","45","5","","60","5","2","2","80","40","65","80",39
"","","","","","","","","","","","","","","","","",40
"20","","65","80","75","10","50","20","5","55","5","40","10","95","55","70","90",41
"","","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","","","",43
"80","50","50","30","40","30","50","40","10","50","10","70","","90","60","40","30",44
"10","95","80","70","80","10","50","5","5","60","10","","5","95","60","65","75",45
"","","","","","","","","","","","","","","","","",46
"3","95","50","60","90","2","50","4","1","55","1","10","7","5","80","70","",47
"","","","","","","","","","","","","","","","","",48
"10","90","60","50","80","20","45","","5","55","10","5","10","5","50","60","80",49
"","","","","","","","","","","","","","","","","",50
"","","","","","","","","","","","","","","","","",51
"20","90","50","50","75","50","50","0","0","95","","5","10","5","50","70","90",52
"","","","","","","","","","","","","","","","","",53
"","","","","","","","","","","","","","","","","",54
"10","89","55","78","85","4","50","7","3","65","","15","10","2","70","65","90",55
"10","99","","60","70","80","50","20","0.5","60","1","5","10","5","65","75","90",56
