"","task_a_likely","task_a_probable","task_a_highly_unlikely","task_a_almost_certainly","task_a_highly_likely","task_a_chances_are_slight","task_a_better_than_even","task_a_we_believe","task_a_probably_not","task_a_we_doubt","task_a_very_good_chance","task_a_unlikely","task_a_about_even","task_a_almost_no_chance","task_a_probably","task_a_little_chance","task_a_improbable","item_string","id"
"1",5,3,15,1,NA,9,6,7,12,10,2,14,8,16,4,11,13,"improbable;probably;we believe;almost certainly;chances are slight;unlikely;likely;little chance;very good chance;probable;probably not;highly unlikely;better than even;about even;we doubt;almost no chance",148
"2",4,5,15,1,3,12,8,6,11,NA,2,14,9,16,7,10,13,"chances are slight;probable;about even;improbable;we believe;highly unlikely;highly likely;almost certainly;probably;almost no chance;little chance;very good chance;probably not;likely;better than even;unlikely",189
"3",4,5,NA,1,3,10,8,6,15,12,2,14,9,16,7,11,13,"almost no chance;probably;improbable;about even;little chance;unlikely;very good chance;highly likely;probably not;almost certainly;likely;chances are slight;better than even;we doubt;probable;we believe",5
"4",3,4,16,1,2,10,7,NA,12,9,5,13,8,15,6,11,14,"highly unlikely;very good chance;chances are slight;highly likely;probably not;we doubt;little chance;likely;unlikely;probably;about even;probable;improbable;almost no chance;better than even;almost certainly",115
"5",4,NA,15,1,2,11,7,5,10,9,3,14,8,16,6,12,13,"very good chance;unlikely;highly likely;highly unlikely;chances are slight;almost certainly;improbable;probably not;almost no chance;better than even;about even;we believe;probably;we doubt;little chance;likely",67
"6",4,5,NA,1,2,13,7,9,12,10,3,14,8,16,6,11,15,"about even;we doubt;little chance;probable;we believe;very good chance;chances are slight;improbable;almost no chance;likely;probably;better than even;unlikely;highly likely;almost certainly;probably not",96
"7",4,8,16,1,2,10,6,5,12,14,3,15,9,13,7,11,NA,"better than even;probable;we doubt;probably;very good chance;highly unlikely;we believe;almost no chance;almost certainly;highly likely;chances are slight;little chance;likely;unlikely;about even;probably not",40
"8",4,5,14,2,3,9,6,8,12,11,1,13,7,15,NA,10,16,"chances are slight;unlikely;probable;better than even;little chance;we believe;highly likely;almost certainly;very good chance;likely;we doubt;almost no chance;highly unlikely;improbable;about even;probably not",69
"9",4,5,15,1,NA,9,7,3,14,13,2,11,8,16,6,10,12,"we doubt;probably;we believe;better than even;about even;very good chance;almost no chance;chances are slight;improbable;likely;almost certainly;unlikely;probable;probably not;highly unlikely;little chance",195
"10",4,8,15,1,3,11,5,6,12,10,2,14,9,16,7,NA,13,"we doubt;highly likely;improbable;almost certainly;about even;probably not;probable;likely;better than even;chances are slight;very good chance;highly unlikely;probably;unlikely;we believe;almost no chance",237
"11",4,6,15,1,2,11,8,7,14,NA,3,13,9,16,5,12,10,"very good chance;better than even;unlikely;about even;likely;probably;improbable;almost no chance;probable;little chance;probably not;chances are slight;almost certainly;we believe;highly unlikely;highly likely",240
"12",4,5,NA,1,2,10,7,9,14,15,3,12,8,16,6,11,13,"unlikely;improbable;probably;almost no chance;about even;probably not;little chance;probable;better than even;almost certainly;highly likely;very good chance;we doubt;chances are slight;likely;we believe",252
"13",4,6,15,1,2,10,8,5,12,13,3,14,9,16,7,11,NA,"we believe;chances are slight;likely;little chance;better than even;unlikely;almost no chance;almost certainly;we doubt;probable;probably not;highly unlikely;about even;very good chance;highly likely;probably",44
