"task_b_likely","task_b_probable","task_b_highly_unlikely","task_b_almost_certainly","task_b_highly_likely","task_b_chances_are_slight","task_b_better_than_even","task_b_we_believe","task_b_probably_not","task_b_we_doubt","task_b_very_good_chance","task_b_unlikely","task_b_about_even","task_b_almost_no_chance","task_b_probably","task_b_little_chance","task_b_improbable","id"
"45","35","5","60","50","5","40","50","5","30","55","5","40","2","35","15","",1
"","","","","","","","","","","","","","","","","",2
"","","","","","","","","","","","","","","","","",3
"","","","","","","","","","","","","","","","","",4
"60","55","","90","90","30","60","70","5","20","70","10","55","5","60","10","10",5
"","","","","","","","","","","","","","","","","",6
"60","70","60","60","90","55","55","80","40","40","55","30","50","","50","30","40",7
"","","","","","","","","","","","","","","","","",8
"40","50","2","60","65","10","60","45","15","5","","2","40","2","30","30","2",9
"","","","","","","","","","","","","","","","","",10
"","","","","","","","","","","","","","","","","",11
"","","","","","","","","","","","","","","","","",12
"30","20","2","70","40","7","25","20","10","12","80","10","22","5","25","","0",13
"","","","","","","","","","","","","","","","","",14
"35","20","2","50","1","1","30","25","10","5","","5","5","1","30","5","2",15
"","","","","","","","","","","","","","","","","",16
"","","","","","","","","","","","","","","","","",17
"","","","","","","","","","","","","","","","","",18
"","","","","","","","","","","","","","","","","",19
"","","","","","","","","","","","","","","","","",20
"50","20","1","80","60","10","","5","2","15","60","3","50","0","25","5","0",21
"","","","","","","","","","","","","","","","","",22
"","","","","","","","","","","","","","","","","",23
"","","","","","","","","","","","","","","","","",24
"50","40","5","70","60","","30","60","5","10","60","0","30","5","30","5","10",25
"90","90","2","","96","20","95","80","8","10","95","7","50","2","90","10","8",26
"60","70","5","90","75","51","55","60","40","25","80","10","50","5","","20","5",27
"","","","","","","","","","","","","","","","","",28
"","","","","","","","","","","","","","","","","",29
"","","","","","","","","","","","","","","","","",30
"","","","","","","","","","","","","","","","","",31
"75","60","5","90","85","","55","60","5","40","90","10","50","3","60","3","5",32
"","","","","","","","","","","","","","","","","",33
"75","80","","95","80","2","60","70","2","30","75","20","50","5","65","15","5",34
"","","","","","","","","","","","","","","","","",35
"70","60","10","90","","25","70","65","10","50","65","10","30","5","40","15","8",36
"","","","","","","","","","","","","","","","","",37
"","","","","","","","","","","","","","","","","",38
"","","","","","","","","","","","","","","","","",39
"55","60","1","95","90","5","55","75","1","5","75","5","50","1","50","5","",40
"52","55","","70","70","4","55","32","2","3","65","8","50","1","55","5","6",41
"","","","","","","","","","","","","","","","","",42
"","","","","","","","","","","","","","","","","",43
"75","70","5","95","90","2","55","85","20","5","85","20","50","2","70","10","",44
"","","","","","","","","","","","","","","","","",45
"30","20","1","60","50","5","25","20","","10","40","3","20","1","25","5","8",46
"60","50","10","80","80","10","60","60","10","10","","5","50","5","60","10","5",47
"","","","","","","","","","","","","","","","","",48
"25","30","2","75","","5","55","40","5","15","60","4","54","1","20","3","0",49
"75","70","5","95","85","5","60","75","10","35","","10","53","3","75","10","5",50
"50","30","0","80","85","30","45","20","25","35","70","20","40","0","","15","20",51
"","","","","","","","","","","","","","","","","",52
"","","","","","","","","","","","","","","","","",53
"","15","","15","","","","","15","","50","","","","","5","",54
"70","50","10","90","85","10","80","60","5","5","85","10","","3","20","12","12",55
"","","","","","","","","","","","","","","","","",56
"60","60","","50","50","10","25","40","10","5","70","20","20","2","50","10","10",57
"30","50","5","60","50","20","100","40","10","15","70","10","30","","50","10","10",58
"70","65","5","80","85","10","60","80","15","30","90","20","","5","70","5","20",59
"","45","2","90","90","20","65","90","1","10","80","1","50","1","60","5","0",60
"80","75","5","80","90","20","60","75","10","40","80","10","50","10","70","","25",61
"","","","","","","","","","","","","","","","","",62
"70","","3","90","80","40","51","65","7","10","95","5","50","2","60","15","20",63
"65","60","2","85","80","15","65","","10","25","80","10","50","1","70","5","20",64
"85","65","8","","90","15","20","87","2","5","85","12","17","1","45","10","1",65
"","","","","","","","","","","","","","","","","",66
"80","","3","98","90","15","55","70","30","40","90","5","50","2","65","5","5",67
"50","40","","60","60","10","15","40","5","20","50","10","30","5","50","15","10",68
"30","40","1","95","90","20","50","20","10","2","80","3","50","1","","5","0",69
"70","20","0","95","50","2","50","60","0","1","80","5","50","2","50","","",70
"60","40","5","90","80","15","60","50","30","20","90","10","50","5","60","","20",71
"","","","","","","","","","","","","","","","","",72
"50","","10","60","70","15","60","55","15","20","60","5","55","5","50","15","10",73
"","","","","","","","","","","","","","","","","",74
"","","","","","","","","","","","","","","","","",75
"","","","","","","","","","","","","","","","","",76
"","","","","","","","","","","","","","","","","",77
"60","60","10","85","80","15","","70","20","40","90","30","25","0","75","5","20",78
"70","50","5","95","75","12","65","85","10","50","80","15","","5","50","10","5",79
